lila_id	lemma_latin	lemma_greek	certainty	written_representation	lemma_variant	compound	lsj_cite_urn
http://lila-erc.eu/data/id/lemma/105903	hypocorisma	ὑποκόρισμα					
http://lila-erc.eu/data/id/lemma/105906	hypocrites	ὑποκριτής					
http://lila-erc.eu/data/id/lemma/105908	hypodidascalus	ὑποδιδάσκαλος					
http://lila-erc.eu/data/id/lemma/105439	hypogaeum	ὑπόγαιον					
http://lila-erc.eu/data/id/lemma/105921	hypomnema	ὑπόμνημα					
http://lila-erc.eu/data/id/lemma/105930	hypotenusa	ὑποτείνουσα					
http://lila-erc.eu/data/id/lemma/105932	hypotheca	ὑποθήκη					
http://lila-erc.eu/data/id/lemma/105938	hypozeugma	ὑπόζευγμα					
http://lila-erc.eu/data/id/lemma/105939	hypozeuxis	ὑπόζευξις					
http://lila-erc.eu/data/id/lemma/105945	hyssopites	ὑσσωπίτης					
http://lila-erc.eu/data/id/lemma/105947	hyssopum	ὕσσωπον			ὕσσωπος		
http://lila-erc.eu/data/id/lemma/105949	hystericus	ὑστερικός					
http://lila-erc.eu/data/id/lemma/106027	iambeus	ἰάμβειος					
http://lila-erc.eu/data/id/lemma/106028	iambicus	ἰαμβικός					
http://lila-erc.eu/data/id/lemma/106032	iambus	ἴαμβος					
http://lila-erc.eu/data/id/lemma/106036	ianthinus	ἰάνθινος					
http://lila-erc.eu/data/id/lemma/106043	iaspis	ἴασπις					
http://lila-erc.eu/data/id/lemma/106046	iatraliptes	ἰατραλείπτης					
http://lila-erc.eu/data/id/lemma/106056	ibis	ἴβις					
http://lila-erc.eu/data/id/lemma/106058	ichneumon	ἰχνεύμων					
http://lila-erc.eu/data/id/lemma/106064	iconicus	εἰκονικός					
http://lila-erc.eu/data/id/lemma/106072	ictericus	ἰκτερικός					
http://lila-erc.eu/data/id/lemma/106077	ictis	ἴκτις					
http://lila-erc.eu/data/id/lemma/106088	idioma	ἰδίωμα					
http://lila-erc.eu/data/id/lemma/106089	idiota	ἰδιώτης					
http://lila-erc.eu/data/id/lemma/106097	idolum	εἴδωλον					
http://lila-erc.eu/data/id/lemma/106981	incitega	ἐγγυθήκη					
http://lila-erc.eu/data/id/lemma/108939	iota	ἰῶτα					
http://lila-erc.eu/data/id/lemma/108940	iotacismus	ἰωτακισμός					
http://lila-erc.eu/data/id/lemma/108963	iris	ἶρις					
http://lila-erc.eu/data/id/lemma/108966	ironia	εἰρωνεία					
http://lila-erc.eu/data/id/lemma/109091	ischiacus	ἰσχιακός					
http://lila-erc.eu/data/id/lemma/109113	isopleuros	ἰσόπλευρος					
http://lila-erc.eu/data/id/lemma/109139	ithyphallicus	ἰθυφαλλικός					
http://lila-erc.eu/data/id/lemma/109599	labdacismus	λαβδακισμός					
http://lila-erc.eu/data/id/lemma/109634	labyrinthos	λαβύρινθος					
http://lila-erc.eu/data/id/lemma/109662	lachanizo	λάχανον					
http://lila-erc.eu/data/id/lemma/109717	laecasin	λαικάζειν					
http://lila-erc.eu/data/id/lemma/109721	laena	χλαῖνα					
http://lila-erc.eu/data/id/lemma/109748	laganum	λάγανον					
http://lila-erc.eu/data/id/lemma/109750	lageos	λάγειος					
http://lila-erc.eu/data/id/lemma/109752	lagoena	λάγυνος					
http://lila-erc.eu/data/id/lemma/109756	lagois	λαγωΐς					
http://lila-erc.eu/data/id/lemma/109787	lamia	λάμια					
http://lila-erc.eu/data/id/lemma/109802	lampas	λαμπάς					
http://lila-erc.eu/data/id/lemma/109878	lanterna	λαμπτήρ					
http://lila-erc.eu/data/id/lemma/109890	lapathum	λάπαθον					
http://lila-erc.eu/data/id/lemma/109712	lapsana	λαψάνη					
http://lila-erc.eu/data/id/lemma/109950	lardum	λαρινόν	uncertain				
http://lila-erc.eu/data/id/lemma/109964	lasanum	λάσαvον					
http://lila-erc.eu/data/id/lemma/109974	laser	λασάριον					
http://lila-erc.eu/data/id/lemma/109984	lastaurus	λάσταυρος					
http://lila-erc.eu/data/id/lemma/110044	latro	λάτρις					
http://lila-erc.eu/data/id/lemma/110110	lautumiae	λατομίαι					
http://lila-erc.eu/data/id/lemma/110120	leaena	λέαινα					
http://lila-erc.eu/data/id/lemma/110121	lebes	λέβης					
http://lila-erc.eu/data/id/lemma/110189	lembus	λέμβος					
http://lila-erc.eu/data/id/lemma/110190	lemma	λῆμμα					
http://lila-erc.eu/data/id/lemma/110192	lemniscus	λημνίσκος					
http://lila-erc.eu/data/id/lemma/135825	lenia	ληνός					
http://lila-erc.eu/data/id/lemma/110237	leo	λέων	uncertain				
http://lila-erc.eu/data/id/lemma/110249	leopardalis					λέων πάρδαλις	
http://lila-erc.eu/data/id/lemma/110259	lepasta	λεπάστη		λεπαστή			
http://lila-erc.eu/data/id/lemma/110253	lepidium	λεπίδιον					
http://lila-erc.eu/data/id/lemma/110286	lethargicus	ληθαργικός					
http://lila-erc.eu/data/id/lemma/110289	lethargus	λήθαργος					
http://lila-erc.eu/data/id/lemma/110308	leucaspis	λεύκασπις					
http://lila-erc.eu/data/id/lemma/110319	leucoion	λευκόϊον					
http://lila-erc.eu/data/id/lemma/110321	leucophaeatus	λευκόφαιος					
http://lila-erc.eu/data/id/lemma/110355	lexis	λέξις					
http://lila-erc.eu/data/id/lemma/110436	lichen	λειχήν					
http://lila-erc.eu/data/id/lemma/110492	lilium	λείριον					
http://lila-erc.eu/data/id/lemma/110596	linter	πλυντήρ					
http://lila-erc.eu/data/id/lemma/110600	linum	λίνον					
http://lila-erc.eu/data/id/lemma/11944	lips	λίψ					
http://lila-erc.eu/data/id/lemma/62432	liquiritia	γλυκύρριζα					
