lila_id,lemma_latin,lemma_greek,certainty,written_representation,lemma_variant,compound,lsj_exactMatch,lsj_broadMatch,lsj_relatedMatch
http://lila-erc.eu/data/id/lemma/101307,episynaliphe,ἐπισυναλοιφή,,,,,n41128,,
http://lila-erc.eu/data/id/lemma/101309,epitaphius,ἐπιτάφιος,,,,,n41262,,
http://lila-erc.eu/data/id/lemma/101312,epitasis,ἐπίτασις,,,,,n41257,,
http://lila-erc.eu/data/id/lemma/101313,epithalamium,ἐπιθαλάμιον,,,,,n39395,,
http://lila-erc.eu/data/id/lemma/101314,epitheca,ἐπιθήκη,,,,,n39444,,
http://lila-erc.eu/data/id/lemma/101316,epitheton,ἐπίθετον,,,,,n39437,,
http://lila-erc.eu/data/id/lemma/101322,epitome,ἐπιτομή,,,,,n41389,,
http://lila-erc.eu/data/id/lemma/101324,epitonion,ἐπιτόνιον,,,,,n41393,,
http://lila-erc.eu/data/id/lemma/101326,epitrapezios,ἐπιτραπέζιος,,,,,n41409,,
http://lila-erc.eu/data/id/lemma/101328,epitritus,ἐπίτριτος,,,,,n41432,,
http://lila-erc.eu/data/id/lemma/101330,epityrum,ἐπίτυρον,,,,,n41469,,
http://lila-erc.eu/data/id/lemma/101337,epodos,ἐπῳδός,,,,,n42056,,
http://lila-erc.eu/data/id/lemma/101340,epops,ἔποψ,,,,,n41901,,
http://lila-erc.eu/data/id/lemma/101342,epos,ἔπος,,,,,n41858,,
http://lila-erc.eu/data/id/lemma/101377,er,χήρ,,,,,n113913,,
http://lila-erc.eu/data/id/lemma/101405,ergasterium,ἐργαστήριον,,,,,,,n42177
http://lila-erc.eu/data/id/lemma/101411,ergastulum,ἔργαστρον,,,,,,n42159,
http://lila-erc.eu/data/id/lemma/101498,eruum,ὄροβος,,,,,n75281,,
http://lila-erc.eu/data/id/lemma/100805,etesiae,ἐτησίαι,,,,,n43261,,
http://lila-erc.eu/data/id/lemma/100943,etesius,ἐτήσιος,,,,,n43263,,
http://lila-erc.eu/data/id/lemma/101546,ethice,ἠθική,,,,,n46767,,
http://lila-erc.eu/data/id/lemma/101550,ethologia,ἠθολογία,,,,,n46775,,
http://lila-erc.eu/data/id/lemma/101551,ethologus,ἠθολόγος,,,,,n46776,,
http://lila-erc.eu/data/id/lemma/101555,etymologia,ἐτυμολογία,,,,,n43301,,
http://lila-erc.eu/data/id/lemma/101558,etymologos,ἐτυμολόγος,,,,,n43303,,
http://lila-erc.eu/data/id/lemma/101559,etymon,ἔτυμον,,,,,n43304,,
http://lila-erc.eu/data/id/lemma/101560,eu,εὖ,,,,,n43309,,
http://lila-erc.eu/data/id/lemma/101626,euan,εὐάν,,εὐἅν,,,n43379,,
http://lila-erc.eu/data/id/lemma/101592,eucharisticon,εὐχαριστικόν,,,,,n45476,,
http://lila-erc.eu/data/id/lemma/101623,eugeneus,εὐγενής,,,,,n43540,,
http://lila-erc.eu/data/id/lemma/101658,eunuchus,εὐνοῦχος,,,,,n44569,,
http://lila-erc.eu/data/id/lemma/101629,euoe,εὐοῖ,,,,,n44596,,
http://lila-erc.eu/data/id/lemma/101680,euphonia,εὐφωνία,,,,,n45453,,
http://lila-erc.eu/data/id/lemma/101686,euplocamos,εὐπλόκαμος,,,,,n44801,,
http://lila-erc.eu/data/id/lemma/101692,eurinus,εὔριvος,,,,,n44952,,
http://lila-erc.eu/data/id/lemma/101694,euripus,εὔριπος,,,,,n44961,,
http://lila-erc.eu/data/id/lemma/101698,euronotus,εὐρόνοτος,,,,,n44971,,
http://lila-erc.eu/data/id/lemma/101701,eurus,εὖρος,,,,,n44975,,
http://lila-erc.eu/data/id/lemma/101703,euscheme,εὐσχήμως,,,,,n45252,,
http://lila-erc.eu/data/id/lemma/101711,euthygrammos,εὐθύγραμμος,,,,,n44032,,
http://lila-erc.eu/data/id/lemma/101748,exagoga,ἐξαγωγή,,,,,n36506a,,
http://lila-erc.eu/data/id/lemma/101815,exbola,ἐκβολή,,,,,n31761,,
http://lila-erc.eu/data/id/lemma/101184,exedra,ἐξέδρα,,,,,n37051,,
http://lila-erc.eu/data/id/lemma/101185,exedrium,ἐξέδριον,,,,,n37052,,
http://lila-erc.eu/data/id/lemma/101966,exegetice,ἐξηγητική,,,,,n37275,,
http://lila-erc.eu/data/id/lemma/101979,exentero,ἐξεντερίζω,,,,,n37134,,
http://lila-erc.eu/data/id/lemma/101738,exhaeresimus,ἐξαιρέσιμος,,,,,n36566,,
http://lila-erc.eu/data/id/lemma/102076,exodium,ἐξόδιον,,,,,n37467,,
http://lila-erc.eu/data/id/lemma/102117,exostra,ἐξώστρα,,,,,n37761,,
http://lila-erc.eu/data/id/lemma/102120,exoticus,ἐξωτικός,,,,,n37767,,
http://lila-erc.eu/data/id/lemma/102819,fagineus,φηγίνεος,,φηγινοῦς,,,n110623,,
http://lila-erc.eu/data/id/lemma/102820,faginus,φήγινος,,,,,n110624,,
http://lila-erc.eu/data/id/lemma/102822,fagus,φηγός,,,,,n110625,,
http://lila-erc.eu/data/id/lemma/102867,falx,φάλκης,,,,,n110201,,
http://lila-erc.eu/data/id/lemma/102962,fascino,βασκαίνω,uncertain,,,,n19565,,
